HourDK,HourUTC,PriceArea,SpotPriceDKK,SpotPriceEUR
2024-12-07 23:00:00,2024-12-07T22:00:00,DK1,512.609985,68.730003
2024-12-07 22:00:00,2024-12-07T21:00:00,DK1,551.840027,73.989998
2024-12-07 21:00:00,2024-12-07T20:00:00,DK1,569.369995,76.339996
2024-12-07 20:00:00,2024-12-07T19:00:00,DK1,559.380005,75.0
2024-12-07 19:00:00,2024-12-07T18:00:00,DK1,515.369995,69.099998
2024-12-07 18:00:00,2024-12-07T17:00:00,DK1,463.089996,62.09
2024-12-07 17:00:00,2024-12-07T16:00:00,DK1,469.880005,63.0
2024-12-07 16:00:00,2024-12-07T15:00:00,DK1,454.589996,60.950001
2024-12-07 15:00:00,2024-12-07T14:00:00,DK1,440.859985,59.110001
2024-12-07 14:00:00,2024-12-07T13:00:00,DK1,427.959991,57.380001
2024-12-07 13:00:00,2024-12-07T12:00:00,DK1,406.029999,54.439999
2024-12-07 12:00:00,2024-12-07T11:00:00,DK1,403.720001,54.130001
2024-12-07 11:00:00,2024-12-07T10:00:00,DK1,382.839996,51.330002
2024-12-07 10:00:00,2024-12-07T09:00:00,DK1,400.589996,53.709999
2024-12-07 09:00:00,2024-12-07T08:00:00,DK1,440.790009,59.099998
2024-12-07 08:00:00,2024-12-07T07:00:00,DK1,404.019989,54.169998
2024-12-07 07:00:00,2024-12-07T06:00:00,DK1,309.369995,41.48
2024-12-07 06:00:00,2024-12-07T05:00:00,DK1,285.359985,38.259998
2024-12-07 05:00:00,2024-12-07T04:00:00,DK1,279.019989,37.41
2024-12-07 04:00:00,2024-12-07T03:00:00,DK1,366.200012,49.099998
2024-12-07 03:00:00,2024-12-07T02:00:00,DK1,465.100006,62.360001
2024-12-07 02:00:00,2024-12-07T01:00:00,DK1,507.170013,68.0
2024-12-07 01:00:00,2024-12-07T00:00:00,DK1,554.299988,74.32
2024-12-07 00:00:00,2024-12-06T23:00:00,DK1,646.27002,86.650002
2024-12-06 23:00:00,2024-12-06T22:00:00,DK1,761.76001,102.139999
2024-12-06 22:00:00,2024-12-06T21:00:00,DK1,903.02002,121.080002
2024-12-06 21:00:00,2024-12-06T20:00:00,DK1,890.640015,119.419998
2024-12-06 20:00:00,2024-12-06T19:00:00,DK1,969.539978,130.0
2024-12-06 19:00:00,2024-12-06T18:00:00,DK1,1062.619995,142.479996
2024-12-06 18:00:00,2024-12-06T17:00:00,DK1,1126.680054,151.070007
2024-12-06 17:00:00,2024-12-06T16:00:00,DK1,1066.420044,142.990005
2024-12-06 16:00:00,2024-12-06T15:00:00,DK1,981.099976,131.550003
2024-12-06 15:00:00,2024-12-06T14:00:00,DK1,871.98999,116.919998
2024-12-06 14:00:00,2024-12-06T13:00:00,DK1,812.929993,109.0
2024-12-06 13:00:00,2024-12-06T12:00:00,DK1,751.02002,100.699997
2024-12-06 12:00:00,2024-12-06T11:00:00,DK1,685.390015,91.900002
2024-12-06 11:00:00,2024-12-06T10:00:00,DK1,733.650024,98.370003
2024-12-06 10:00:00,2024-12-06T09:00:00,DK1,776.22998,104.080002
2024-12-06 09:00:00,2024-12-06T08:00:00,DK1,821.580017,110.160004
2024-12-06 08:00:00,2024-12-06T07:00:00,DK1,821.650024,110.169998
2024-12-06 07:00:00,2024-12-06T06:00:00,DK1,691.429993,92.709999
2024-12-06 06:00:00,2024-12-06T05:00:00,DK1,467.619995,62.700001
2024-12-06 05:00:00,2024-12-06T04:00:00,DK1,77.190002,10.35
2024-12-06 04:00:00,2024-12-06T03:00:00,DK1,22.299999,2.99
2024-12-06 03:00:00,2024-12-06T02:00:00,DK1,17.23,2.31
2024-12-06 02:00:00,2024-12-06T01:00:00,DK1,28.860001,3.87
2024-12-06 01:00:00,2024-12-06T00:00:00,DK1,34.310001,4.6
2024-12-06 00:00:00,2024-12-05T23:00:00,DK1,79.349998,10.64
2024-12-05 23:00:00,2024-12-05T22:00:00,DK1,321.730011,43.139999
2024-12-05 22:00:00,2024-12-05T21:00:00,DK1,312.040009,41.84
2024-12-05 21:00:00,2024-12-05T20:00:00,DK1,347.170013,46.549999
2024-12-05 20:00:00,2024-12-05T19:00:00,DK1,303.910004,40.75
2024-12-05 19:00:00,2024-12-05T18:00:00,DK1,332.549988,44.59
2024-12-05 18:00:00,2024-12-05T17:00:00,DK1,400.040009,53.639999
2024-12-05 17:00:00,2024-12-05T16:00:00,DK1,450.459991,60.400002
2024-12-05 16:00:00,2024-12-05T15:00:00,DK1,405.859985,54.419998
2024-12-05 15:00:00,2024-12-05T14:00:00,DK1,460.820007,61.790001
2024-12-05 14:00:00,2024-12-05T13:00:00,DK1,469.329987,62.93
2024-12-05 13:00:00,2024-12-05T12:00:00,DK1,528.690002,70.889999
2024-12-05 12:00:00,2024-12-05T11:00:00,DK1,561.950012,75.349998
2024-12-05 11:00:00,2024-12-05T10:00:00,DK1,597.679993,80.139999
2024-12-05 10:00:00,2024-12-05T09:00:00,DK1,685.159973,91.870003
2024-12-05 09:00:00,2024-12-05T08:00:00,DK1,745.119995,99.910004
2024-12-05 08:00:00,2024-12-05T07:00:00,DK1,954.609985,128.0
2024-12-05 07:00:00,2024-12-05T06:00:00,DK1,857.659973,115.0
2024-12-05 06:00:00,2024-12-05T05:00:00,DK1,680.909973,91.300003
2024-12-05 05:00:00,2024-12-05T04:00:00,DK1,579.47998,77.699997
2024-12-05 04:00:00,2024-12-05T03:00:00,DK1,573.809998,76.940002
2024-12-05 03:00:00,2024-12-05T02:00:00,DK1,649.880005,87.139999
2024-12-05 02:00:00,2024-12-05T01:00:00,DK1,746.539978,100.099998
2024-12-05 01:00:00,2024-12-05T00:00:00,DK1,788.599976,105.739998
2024-12-05 00:00:00,2024-12-04T23:00:00,DK1,855.940002,114.769997
2024-12-04 23:00:00,2024-12-04T22:00:00,DK1,827.960022,111.0
2024-12-04 22:00:00,2024-12-04T21:00:00,DK1,895.099976,120.0
2024-12-04 21:00:00,2024-12-04T20:00:00,DK1,992.070007,133.0
