{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 840, 'variables': 504, 'status': 'optimal', 'result': 30.20665819896464, 'setup_time': 0.00048041343688964844, 'dataflow_time': 0.09683465957641602, 'optimizer_time': 0.850940465927124, 'execution_mode': 'serial', 'l': 1, 'T': 24, 'no_homes': 10}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 840, 'variables': 504, 'status': 'optimal', 'result': 30.20665819896464, 'setup_time': 0.0008823871612548828, 'dataflow_time': 0.1534125804901123, 'optimizer_time': 0.8638112545013428, 'execution_mode': 'parallel', 'l': 1, 'T': 24, 'no_homes': 10}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 2760, 'variables': 1464, 'status': 'optimal', 'result': 5328.559482139608, 'setup_time': 0.0013833045959472656, 'dataflow_time': 0.3450651168823242, 'optimizer_time': 3.1985979080200195, 'execution_mode': 'serial', 'l': 1, 'T': 24, 'no_homes': 50}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 2760, 'variables': 1464, 'status': 'optimal', 'result': 5328.559482139608, 'setup_time': 0.0015959739685058594, 'dataflow_time': 0.8145630359649658, 'optimizer_time': 2.9703752994537354, 'execution_mode': 'parallel', 'l': 1, 'T': 24, 'no_homes': 50}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 5160, 'variables': 2664, 'status': 'optimal', 'result': 12067.661289228603, 'setup_time': 0.004014015197753906, 'dataflow_time': 0.666419267654419, 'optimizer_time': 5.5284600257873535, 'execution_mode': 'serial', 'l': 1, 'T': 24, 'no_homes': 100}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 5160, 'variables': 2664, 'status': 'optimal', 'result': 12067.661289228603, 'setup_time': 0.0028679370880126953, 'dataflow_time': 1.061415433883667, 'optimizer_time': 6.036267280578613, 'execution_mode': 'parallel', 'l': 1, 'T': 24, 'no_homes': 100}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 24360, 'variables': 12264, 'status': 'optimal', 'result': 66091.39818014618, 'setup_time': 0.013076543807983398, 'dataflow_time': 3.395463705062866, 'optimizer_time': 26.94161629676819, 'execution_mode': 'serial', 'l': 1, 'T': 24, 'no_homes': 500}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 24360, 'variables': 12264, 'status': 'optimal', 'result': 66091.39818014618, 'setup_time': 0.012517690658569336, 'dataflow_time': 5.063828468322754, 'optimizer_time': 26.915813446044922, 'execution_mode': 'parallel', 'l': 1, 'T': 24, 'no_homes': 500}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 1680, 'variables': 1008, 'status': 'optimal', 'result': 928.2785698615318, 'setup_time': 0.0008118152618408203, 'dataflow_time': 0.10905003547668457, 'optimizer_time': 2.033877372741699, 'execution_mode': 'serial', 'l': 1, 'T': 48, 'no_homes': 10}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 1680, 'variables': 1008, 'status': 'optimal', 'result': 928.2785698615318, 'setup_time': 0.000732421875, 'dataflow_time': 0.14467668533325195, 'optimizer_time': 2.037010908126831, 'execution_mode': 'parallel', 'l': 1, 'T': 48, 'no_homes': 10}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 5520, 'variables': 2928, 'status': 'optimal', 'result': 11711.368635730425, 'setup_time': 0.001458883285522461, 'dataflow_time': 0.38275146484375, 'optimizer_time': 5.70854926109314, 'execution_mode': 'serial', 'l': 1, 'T': 48, 'no_homes': 50}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 5520, 'variables': 2928, 'status': 'optimal', 'result': 11711.368635730425, 'setup_time': 0.0013263225555419922, 'dataflow_time': 0.5710070133209229, 'optimizer_time': 6.0226945877075195, 'execution_mode': 'parallel', 'l': 1, 'T': 48, 'no_homes': 50}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 10320, 'variables': 5328, 'status': 'optimal', 'result': 25341.762099315893, 'setup_time': 0.002290964126586914, 'dataflow_time': 0.9394216537475586, 'optimizer_time': 12.477028846740723, 'execution_mode': 'serial', 'l': 1, 'T': 48, 'no_homes': 100}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 10320, 'variables': 5328, 'status': 'optimal', 'result': 25341.762099315893, 'setup_time': 0.002185821533203125, 'dataflow_time': 0.9699194431304932, 'optimizer_time': 10.6927969455719, 'execution_mode': 'parallel', 'l': 1, 'T': 48, 'no_homes': 100}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 48720, 'variables': 24528, 'status': 'optimal', 'result': 134495.83224220516, 'setup_time': 0.011878013610839844, 'dataflow_time': 3.6588339805603027, 'optimizer_time': 57.19779849052429, 'execution_mode': 'serial', 'l': 1, 'T': 48, 'no_homes': 500}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 48720, 'variables': 24528, 'status': 'optimal', 'result': 134495.83224220516, 'setup_time': 0.015699148178100586, 'dataflow_time': 5.473226308822632, 'optimizer_time': 57.79865646362305, 'execution_mode': 'parallel', 'l': 1, 'T': 48, 'no_homes': 500}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 3360, 'variables': 2016, 'status': 'optimal', 'result': 3448.0209428931184, 'setup_time': 0.0005593299865722656, 'dataflow_time': 0.10677051544189453, 'optimizer_time': 3.7778842449188232, 'execution_mode': 'serial', 'l': 1, 'T': 96, 'no_homes': 10}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 3360, 'variables': 2016, 'status': 'optimal', 'result': 3448.0209428931184, 'setup_time': 0.0008711814880371094, 'dataflow_time': 0.2033376693725586, 'optimizer_time': 3.7331507205963135, 'execution_mode': 'parallel', 'l': 1, 'T': 96, 'no_homes': 10}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 11040, 'variables': 5856, 'status': 'optimal', 'result': 25257.253699698093, 'setup_time': 0.0012440681457519531, 'dataflow_time': 0.37021732330322266, 'optimizer_time': 11.1802396774292, 'execution_mode': 'serial', 'l': 1, 'T': 96, 'no_homes': 50}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 11040, 'variables': 5856, 'status': 'optimal', 'result': 25257.253699698093, 'setup_time': 0.0020825862884521484, 'dataflow_time': 0.5360701084136963, 'optimizer_time': 13.613102436065674, 'execution_mode': 'parallel', 'l': 1, 'T': 96, 'no_homes': 50}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 20640, 'variables': 10656, 'status': 'optimal', 'result': 52675.242540889914, 'setup_time': 0.002440929412841797, 'dataflow_time': 0.681647539138794, 'optimizer_time': 22.686973810195923, 'execution_mode': 'serial', 'l': 1, 'T': 96, 'no_homes': 100}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 20640, 'variables': 10656, 'status': 'optimal', 'result': 52675.242540889914, 'setup_time': 0.002429485321044922, 'dataflow_time': 1.028710126876831, 'optimizer_time': 21.296794652938843, 'execution_mode': 'parallel', 'l': 1, 'T': 96, 'no_homes': 100}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 97440, 'variables': 49056, 'status': 'optimal', 'result': 272130.07570462977, 'setup_time': 0.01352238655090332, 'dataflow_time': 5.226086378097534, 'optimizer_time': 158.14039707183838, 'execution_mode': 'serial', 'l': 1, 'T': 96, 'no_homes': 500}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 97440, 'variables': 49056, 'status': 'optimal', 'result': 272130.07570462977, 'setup_time': 0.011508464813232422, 'dataflow_time': 5.576265096664429, 'optimizer_time': 162.7177858352661, 'execution_mode': 'parallel', 'l': 1, 'T': 96, 'no_homes': 500}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 5880, 'variables': 3528, 'status': 'infeasible', 'result': inf, 'setup_time': 0.0006909370422363281, 'dataflow_time': 0.13494038581848145, 'optimizer_time': 6.916906356811523, 'execution_mode': 'serial', 'l': 1, 'T': 168, 'no_homes': 10}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 5880, 'variables': 3528, 'status': 'infeasible', 'result': inf, 'setup_time': 0.00054931640625, 'dataflow_time': 0.145294189453125, 'optimizer_time': 6.915210962295532, 'execution_mode': 'parallel', 'l': 1, 'T': 168, 'no_homes': 10}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 19320, 'variables': 10248, 'status': 'infeasible', 'result': inf, 'setup_time': 0.0026874542236328125, 'dataflow_time': 0.47264981269836426, 'optimizer_time': 23.21437931060791, 'execution_mode': 'serial', 'l': 1, 'T': 168, 'no_homes': 50}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 19320, 'variables': 10248, 'status': 'infeasible', 'result': inf, 'setup_time': 0.0027947425842285156, 'dataflow_time': 0.7095599174499512, 'optimizer_time': 26.20832896232605, 'execution_mode': 'parallel', 'l': 1, 'T': 168, 'no_homes': 50}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 36120, 'variables': 18648, 'status': 'optimal', 'result': 77193.53803829149, 'setup_time': 0.002856731414794922, 'dataflow_time': 0.8385493755340576, 'optimizer_time': 42.407597064971924, 'execution_mode': 'serial', 'l': 1, 'T': 168, 'no_homes': 100}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 36120, 'variables': 18648, 'status': 'optimal', 'result': 77193.53803829149, 'setup_time': 0.0022797584533691406, 'dataflow_time': 0.9931280612945557, 'optimizer_time': 39.92788577079773, 'execution_mode': 'parallel', 'l': 1, 'T': 168, 'no_homes': 100}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 170520, 'variables': 85848, 'status': 'optimal', 'result': 455969.0752518643, 'setup_time': 0.010028362274169922, 'dataflow_time': 3.590169668197632, 'optimizer_time': 399.67271971702576, 'execution_mode': 'serial', 'l': 1, 'T': 168, 'no_homes': 500}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 170520, 'variables': 85848, 'status': 'optimal', 'result': 455969.0752518643, 'setup_time': 0.03838014602661133, 'dataflow_time': 5.773729562759399, 'optimizer_time': 385.5458405017853, 'execution_mode': 'parallel', 'l': 1, 'T': 168, 'no_homes': 500}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 3360, 'variables': 2016, 'status': 'optimal', 'result': 431.73952668754873, 'setup_time': 0.0007283687591552734, 'dataflow_time': 0.20292115211486816, 'optimizer_time': 4.017414569854736, 'execution_mode': 'serial', 'l': 4, 'T': 24, 'no_homes': 10}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 3360, 'variables': 2016, 'status': 'optimal', 'result': 431.73952668754873, 'setup_time': 0.0005414485931396484, 'dataflow_time': 0.26903724670410156, 'optimizer_time': 4.05812668800354, 'execution_mode': 'parallel', 'l': 4, 'T': 24, 'no_homes': 10}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 11040, 'variables': 5856, 'status': 'optimal', 'result': 21482.033810654044, 'setup_time': 0.001306772232055664, 'dataflow_time': 0.6911506652832031, 'optimizer_time': 12.218499422073364, 'execution_mode': 'serial', 'l': 4, 'T': 24, 'no_homes': 50}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 11040, 'variables': 5856, 'status': 'optimal', 'result': 21482.033810654044, 'setup_time': 0.0017549991607666016, 'dataflow_time': 0.9576423168182373, 'optimizer_time': 13.254399299621582, 'execution_mode': 'parallel', 'l': 4, 'T': 24, 'no_homes': 50}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 20640, 'variables': 10656, 'status': 'optimal', 'result': 48440.47987811321, 'setup_time': 0.0022089481353759766, 'dataflow_time': 1.3413057327270508, 'optimizer_time': 21.19834804534912, 'execution_mode': 'serial', 'l': 4, 'T': 24, 'no_homes': 100}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 20640, 'variables': 10656, 'status': 'optimal', 'result': 48440.47987811321, 'setup_time': 0.002439260482788086, 'dataflow_time': 3.659571409225464, 'optimizer_time': 20.8672616481781, 'execution_mode': 'parallel', 'l': 4, 'T': 24, 'no_homes': 100}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 97440, 'variables': 49056, 'status': 'optimal', 'result': 264527.3897409764, 'setup_time': 0.01916790008544922, 'dataflow_time': 8.025950908660889, 'optimizer_time': 158.85185194015503, 'execution_mode': 'serial', 'l': 4, 'T': 24, 'no_homes': 500}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 97440, 'variables': 49056, 'status': 'optimal', 'result': 264527.3897409764, 'setup_time': 0.013085603713989258, 'dataflow_time': 12.16634726524353, 'optimizer_time': 159.7922341823578, 'execution_mode': 'parallel', 'l': 4, 'T': 24, 'no_homes': 500}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 6720, 'variables': 4032, 'status': 'optimal', 'result': 4059.560489055937, 'setup_time': 0.0004405975341796875, 'dataflow_time': 0.14981389045715332, 'optimizer_time': 8.226585626602173, 'execution_mode': 'serial', 'l': 4, 'T': 48, 'no_homes': 10}
